institution_number,domain
3648-SW67HB,stthomasrc.lbhf.sch.uk
6011-W67BS,spgs.org
6216-W67EA,butehouse.co.uk
6291-W60PG,godolphinandlatymer.com
6306-W69LR,latymer-upper.org
6359-W67BE,ecoleprevert.org.uk
6382-SW64QT,evergreenprimary.org.uk
6384-W60SL,rpps.co.uk
6386-SW62NB,lecoledespetits.co.uk
7153-W120TN,woodlane.lbhf.sch.uk
7203-W127PA,jacktizard.lbhf.sch.uk
7204-W120SP,cambridge.lbhf.sch.uk
1009-N193SF,margaretmcmillan.islington.sch.uk
1033-N10UH,islington.gov.uk
1033-N10UH,kategreenaway.org
1047-N43RB,islington.gov.uk
1047-N43RB,northislingtonnursery.co.uk
1101-N10HN,nrc.islington.sch.uk
1101-N10HN,newrivercollege.co.uk
1104-N78RH,nrc.islington.sch.uk
1104-N78RH,newrivercollege.co.uk
2015-N42DR,ambler.islington.sch.uk
2166-N51PJ,draytonpark.islington.sch.uk
2170-N194JA,duncombeprimary.co.uk
2251-N51LH,gillespie.islington.sch.uk
2261-N76AR,grafton.islington.sch.uk
2261-N76AR,graftonschool.co.uk
2279-N18BD,hanover.islington.sch.uk
2282-N195BS,hargravepark.islington.sch.uk
2282-N195BS,hargravepark.com
2379-N11SW,laycock.islington.sch.uk
2429-EC1V8BB,moreland.islington.sch.uk
2429-EC1V8BB,moreland-islington.co.uk
2455-N76DU,pakeman.islington.sch.uk
2455-N76DU,pakemanprimary.co.uk
2515-N79QJ,robertblair.islington.sch.uk
2515-N79QJ,robertblairschool.com
2596-N11HX,thornhill.islington.sch.uk
2624-N10WF,vittoria.islington.sch.uk
2646-N19AZ,lqps.co.uk
2666-N194RR,yerbury.islington.sch.uk
2803-N70HJ,tufnellpark.islington.sch.uk
2805-N52DP,highburyquadrant.islington.sch.uk
2805-N52DP,highburyquadrantprimary.co.uk
2809-N89EG,ashmount.islington.sch.uk
2809-N89EG,ashmountprimaryschool.co.uk
2850-EC1Y8JA,priorweston.islington.sch.uk
3384-N78JN,sacredheart.islington.sch.uk
3456-N18BL,stjohnevangelist.islington.sch.uk
3465-N195RR,st-johnsholloway.islington.sch.uk
3465-N195RR,stjohnsupperholloway.co.uk
3471-N51DL,stjhv.islington.sch.uk
3483-N195NE,st-josephs.islington.sch.uk
3488-N14AZ,sjsp.islington.sch.uk
3488-N14AZ,stjudestpauls.co.uk
3495-EC1V3SJ,st-lukes.islington.sch.uk
3495-EC1V3SJ,st-lukesislington.co.uk
3501-N194JF,st-marks.islington.sch.uk
3527-N12EP,stmarys.islington.sch.uk
3575-EC1V0EU,stpetersandstpauls.islington.sch.uk
3606-N10LB,standrews.islington.sch.uk
3631-N52UX,st-joanofarc.islington.sch.uk
3633-N43QW,ctks.co.uk
4112-N70JG,beaconhigh.org
4307-N51AR,highburyfields.islington.sch.uk
4324-N19QG,egas.islington.sch.uk
4324-N19QG,egaschool.co.uk
4614-EC2A4SH,cfbs.islington.sch.uk
4614-EC2A4SH,centralfoundationboys.co.uk
4651-N65LY,sta.islington.sch.uk
6299-EC1V0BW,dallingtonschool.co.uk
6354-EC1M6EA,charterhousesquareschool.co.uk
7030-N18RE,cloudesley.islington.sch.uk
7146-N52EG,srs.islington.sch.uk
7146-N52EG,samuelrhodes.islington.sch.uk
1010-W105TN,golborne.rbkc.sch.uk
1021-W114EE,apsafederation.com
1053-SW35JE,coans.rbkc.sch.uk
2021-SW100DT,ashprimary.co.uk
2021-SW100DT,ashburnhamcommunityschool.org.uk
2030-W106DW,barlby.rbkc.sch.uk
2050-W105TW,bevington.rbkc.sch.uk
2060-SW50DJ,bousfield.rbkc.sch.uk
2060-SW50DJ,bousfieldprimaryschool.co.uk
2121-W112DF,colville.rbkc.sch.uk
2229-W87PP,foxprimary.co.uk
2229-W87PP,fox.rbkc.sch.uk
2399-SW33AP,marlborough.rbkc.sch.uk
2452-W106NF,oxfordgardens.rbkc.sch.uk
2456-SW100AY,parkwalk.rbkc.sch.uk
2538-W114EE,apsafederation.com
2538-W114EE,avondalepark.rbkc.sch.uk
2594-W111RQ,thomasjones.co.uk
2594-W111RQ,thomasjonesschool.org
3321-SW34AA,ccht.rbkc.sch.uk
3356-SW1X9DE,ccht.rbkc.sch.uk
3379-SW36QH,oratory.rbkc.sch.uk
3402-W105EF,st.rbkc.sch.uk
3402-W105EF,stfed.rbkc.sch.uk
3417-W86EJ,sbsp.rbkc.sch.uk
3437-W114BJ,franassisi.co.uk
3437-W114BJ,stfrancisofassisi.org.uk
3455-W114PG,stfed.rbkc.sch.uk
3504-W84SP,sma.rbkc.sch.uk
3541-SW59UE,scwsm.rbkc.sch.uk
3542-W105AW,st-marys.rbkc.sch.uk
3613-SW109NA,serviteprimaryschool.co.uk
4801-W106EL,allsaintscc.org.uk
5201-W106EB,st-charles.rbkc.sch.uk
6004-SW75JX,glendowerprep.org
6392-SW65PA,kenprep.gdst.net
6392-SW65PA,kensingtonprep.gdst.net
6025-W114UH,norlandplace.com
6026-SW75LE,queensgate.org.uk
6095-W106JP,bassetths.org.uk
6096-SW1X0EA,sussexhouseschool.co.uk
6104-SW74NE,stpschool.co.uk
6188-SW1X0EP,hillhouseschool.co.uk
6189-W24ED,wetherbyschool.co.uk
6193-SW74QB,falknerhouse.co.uk
6202-SW1X0AA,morehousemail.org.uk
6202-SW1X0AA,morehouse.org.uk
6213-SW34TW,gardenhouseschool.co.uk
6399-W148SH,stjamesgirls.co.uk
6016-TW153DZ,stjamesboys.co.uk
6016-TW153DZ,stjamesschools.co.uk
6004-SE17FX,dld.org
6004-SE17FX,dldcollege.co.uk
6401-SW113JB,thomas-s.co.uk
6303-W24EH,pembridgehall.co.uk
6305-W105SZ,educacion.gob.es
6305-W105SZ,vicentecanadablanch.educacion.es
6316-SW1X0BD,knightsbridgeschool.com
6317-W85PR,thomas-s.co.uk
6389-W24AT,kps.co.uk
6348-W84PL,ashbournecollege.co.uk
6350-SW36AH,cameronvaleschool.com
6362-SW50HL,collingham.co.uk
6363-SW75AB,mpw.ac.uk
6383-W113BU,southbank.org
6390-SW71ND,brightoncollegeprepkensington.co.uk
6000-EC3N2ET,davidgamecollege.com
6387-W106EJ,lapef.co.uk
6387-W106EJ,lapetiteecolefrancaise.co.uk
6391-SW72DG,lyceefrancais.org.uk
7165-SW109NH,cchs.org.uk
1027-SW21PL,trianglenursery.org
1043-SW21PL,effra-school.org.uk
1043-SW21PL,effra.lambeth.sch.uk
1049-SE116BG,ethelred-school.org.uk
1049-SE116BG,ethelrednursery.org.uk
1055-SW48EG,maytree-school.org.uk
1055-SW48EG,maytree-nursery.lambeth.sch.uk
1058-SW22RW,holmewoodnurseryschool.org.uk
2022-SW81NT,ashmoleprimaryschool.org.uk
2115-SW40BZ,clapham-manor.co.uk
2115-SW40BZ,claphammanor.lambeth.sch.uk
2265-SW165AN,grantonprimary.org.uk
2292-SW83EH,heathbrook.org
2295-SW120JA,henrycavendish.co.uk
2331-SE240BJ,jessop.lambeth.sch.uk
2359-SE279RD,kingswoodprimary.co.uk
2359-SE279RD,ghf.london
2371-SW46PH,larkhall.lambeth.sch.uk
2371-SW46PH,larkhallprimary.co.uk
2459-SE191PA,paxtonprimary.co.uk
2504-SW24JP,richardatkins.org
2902-SW99TG,stockwell-pri.lambeth.sch.uk
2575-SW25EF,sudbourne.com
2578-SW162UW,sunnyhill.lambeth.sch.uk
2578-SW162UW,sunnyhillprimary.com
2591-SW120HW,telferscot.co.uk
2617-SE115LG,vauxhallprimary.org.uk
2626-SE116DS,wtwschool.co.uk
2657-SW165UQ,woodmansterne.london
2664-SW82TJ,wyvil.org.uk
2664-SW82TJ,wyvilschool.org.uk
2783-SW163HX,crownlane.lambeth.sch.uk
2785-SW23PW,fenstantonprimary.co.uk
2794-SE279RR,elmwoodprimary.co.uk
2808-SW46RP,allenedwards.lambeth.sch.uk
2808-SW46RP,allenedwards.co.uk
2836-SW48LD,glenbrookprimary.co.uk
5209-SE270JF,juliansprimary.org.uk
2868-SW82HP,herbertmorrison.lambeth.sch.uk
2868-SW82HP,herbertmorrisonprimaryschool.co.uk
3307-SE114PH,absprimary.school
3307-SE114PH,archbishop-sumners-primary.lambeth.sch.uk
3324-SW96HN,christchurchschool.cc
3375-SW40NU,macaulay.lambeth.sch.uk
3375-SW40NU,macaulaycofeschool.co.uk
3403-SW99DE,standrewsce.lambeth.sch.uk
3403-SW99DE,standrewsprimaryschoolstockwell.org
3457-SE50SX,sjtdprimary.org.uk
3466-SW97HH,st-johns.lambeth.sch.uk
3491-SE240EL,stjudeslambeth.org
3491-SE240EL,st-judes.lambeth.sch.uk
3502-SE115SL,st-markscofe.lambeth.sch.uk
3502-SE115SL,stmarkscofeprimarylambeth.co.uk
3589-SE240AY,st-saviours.lambeth.sch.uk
3589-SE240AY,stsaviourslambeth.co.uk
3596-SW81EJ,st-stephens.lambeth.sch.uk
3621-SW22RL,holytrinity.lambeth.sch.uk
3621-SW22RL,holytrinityceprimary.org.uk
3641-SW90TQ,st-helens.lambeth.sch.uk
4223-SE193NY,thenorwoodschool.org
4321-SE115QY,lilianbaylis.com
4509-SW96UL,saintgabrielscollege.org
5200-SW120AB,fedstbb.org.uk
5201-SE115JA,st-annes.lambeth.sch.uk
5203-SW120LF,fedstbb.org.uk
5203-SW120LF,st-bedes.lambeth.sch.uk
5204-SW162ET,st-andrewsrc.lambeth.sch.uk
5205-SW165SL,immanuelschoollambeth.org.uk
5205-SW165SL,immanuelschoollambeth.org
5206-SW90EN,reay.lambeth.sch.uk
5208-SW49QJ,st-marys.lambeth.sch.uk
5208-SW49QJ,stmarys-lambeth.co.uk
5400-SW120AB,laretraite.co.uk
5401-SW162HY,btg-secondary.lambeth.sch.uk
5401-SW162HY,btg.ac
5950-SE218LX,turney.org.uk
5950-SE218LX,lansdowneturneyfederation.co.uk
6109-SE218HP,oakfield.dulwich.sch.uk
6151-SE218HZ,rosemeadprep.org.uk
6311-SW161AW,shc.gdst.net
6311-SW161AW,schs.gdst.net
6384-SW120LF,whitehouseschool.com
7001-SW99QD,lansdowne.lambeth.sch.uk
7001-SW99QD,lansdowneturneyfederation.co.uk
7115-SW22EF,elmcourt.lambeth.sch.uk
1002-SE85NH,clyde.lewisham.sch.uk
1002-SE85NH,clydenurseryschool.co.uk
1011-SE42QQ,chelwood.lewisham.sch.uk
2000-SE264AQ,adamsrill.lewisham.sch.uk
2023-SE63LD,athelney.lewisham.sch.uk
2023-SE63LD,athelneyprimary.org.uk
